region,accum_cases,recovered,active_cases,date,new_case
Central,1749,1497,242,8/9/2020,10
Eastern,1972,1732,228,8/9/2020,48
Greater Accra,20749,19896,766,8/9/2020,550
Northern East,9,8,0,8/9/2020,0
Northern,454,415,34,8/9/2020,0
Oti,211,194,16,8/9/2020,0
Savannah,62,61,0,8/9/2020,0
Upper East,282,279,0,8/9/2020,0
Upper West,88,85,0,8/9/2020,15
Volta,626,605,12,8/9/2020,12
Western,2818,2717,99,8/9/2020,106
Western North,568,542,26,8/9/2020,25
Ahafo,469,436,33,8/10/2020,0
Ashanti,10408,9779,543,8/10/2020,201
Bono,439,438,1,8/10/2020,0
Bono East,700,654,43,8/10/2020,37
Central,1751,1497,244,8/10/2020,1
Eastern,1991,1756,223,8/10/2020,67
Greater Accra,20824,20008,729,8/10/2020,446
Northern East,9,8,0,8/10/2020,17
Northern,454,415,34,8/10/2020,0
Oti,213,194,18,8/10/2020,2
Savannah,62,61,0,8/10/2020,3
Upper East,282,279,0,8/10/2020,0
Upper West,88,85,0,8/10/2020,0
Volta,626,605,12,8/10/2020,9
Western,2829,2738,89,8/10/2020,0
Western North,580,542,38,8/10/2020,0
Ahafo,469,438,31,8/11/2020,0
Ashanti,10431,9845,500,8/11/2020,77
Bono,439,438,1,8/11/2020,13
Bono East,703,657,43,8/11/2020,0
Central,1751,1497,244,8/11/2020,36
Eastern,2013,1769,232,8/11/2020,30
Greater Accra,20865,20109,669,8/11/2020,315
Northern East,9,8,0,8/11/2020,0
Northern,454,415,34,8/11/2020,0
Oti,213,197,15,8/11/2020,0
Savannah,62,61,0,8/11/2020,0
Upper East,282,279,0,8/11/2020,0
Upper West,88,85,0,8/11/2020,5
Volta,628,605,14,8/11/2020,0
Western,2860,2773,85,8/11/2020,125
Western North,580,542,38,8/11/2020,8
Ahafo,469,441,28,8/12/2020,0
Ashanti,10476,9942,446,8/12/2020,54
Bono,468,439,29,8/12/2020,0
Bono East,703,657,42,8/12/2020,2
Central,1754,1497,247,8/12/2020,33
Eastern,2024,1783,228,8/12/2020,30
Greater Accra,20970,20244,637,8/12/2020,162
Northern East,9,8,0,8/12/2020,20
Northern,472,439,27,8/12/2020,2
Oti,213,198,13,8/12/2020,0
Savannah,62,61,0,8/12/2020,1
Upper East,282,279,0,8/12/2020,3
Upper West,88,85,0,8/12/2020,0
Volta,630,605,16,8/12/2020,2
Western,2863,2773,88,8/12/2020,2
Western North,580,542,38,8/12/2020,0
Ahafo,469,441,28,8/13/2020,0
Ashanti,10488,9985,415,8/13/2020,183
Bono,468,451,17,8/13/2020,1
Bono East,716,658,54,8/13/2020,3
Central,1754,1497,247,8/13/2020,104
Eastern,2065,1801,251,8/13/2020,55
Greater Accra,21014,20268,657,8/13/2020,94
Upper East,282,279,0,8/13/2020,0
Northern,472,455,11,8/13/2020,0
Oti,213,198,13,8/13/2020,0
Savannah,62,61,0,8/13/2020,0
Upper West,88,85,0,8/13/2020,0
Volta,631,605,17,8/13/2020,0
Western,2899,2813,84,8/13/2020,4
Western North,580,542,38,8/13/2020,153
Northern East,9,8,0,8/13/2020,0
Ahafo,469,446,23,8/14/2020,0
Ashanti,10560,10034,438,8/14/2020,204
Bono,480,454,26,8/14/2020,0
Bono East,716,659,53,8/14/2020,0
Central,1784,1497,277,8/14/2020,1
Eastern,2088,1817,258,8/14/2020,34
Greater Accra,21162,20341,732,8/14/2020,86
Northern East,18,17,0,8/14/2020,5
Northern,489,466,17,8/14/2020,0
Oti,215,202,11,8/14/2020,2
Savannah,62,61,0,8/14/2020,0
Upper East,282,279,0,8/14/2020,0
Upper West,88,85,0,8/14/2020,0
Volta,640,605,26,8/14/2020,10
Western,2899,2823,74,8/14/2020,19
Western North,580,576,4,8/14/2020,0
Ahafo,485,446,39,8/15/2020,0
Ashanti,10569,10034,445,8/15/2020,42
Bono,480,454,26,8/15/2020,1
Bono East,720,665,51,8/15/2020,12
Central,1801,1563,226,8/15/2020,0
Eastern,2097,1822,261,8/15/2020,45
Greater Accra,21212,20469,652,8/15/2020,293
Northern East,18,17,0,8/15/2020,18
Northern,489,466,17,8/15/2020,0
Oti,229,202,25,8/15/2020,3
Savannah,62,61,0,8/15/2020,0
Upper East,282,279,0,8/15/2020,0
Upper West,88,85,0,8/15/2020,0
Volta,642,605,28,8/15/2020,0
Western,2899,2823,73,8/15/2020,44
Western North,580,576,4,8/15/2020,2
Ahafo,490,446,44,8/16/2020,0
Ashanti,10650,10082,478,8/16/2020,48
Bono,480,458,22,8/16/2020,0
Bono East,730,676,46,8/16/2020,2
Central,1829,1563,254,8/16/2020,4
Eastern,2109,1834,258,8/16/2020,7
Greater Accra,21369,20593,685,8/16/2020,284
Northern East,18,17,0,8/16/2020,16
Northern,489,466,17,8/16/2020,1
Oti,229,202,25,8/16/2020,0
Savannah,62,61,0,8/16/2020,1
Upper East,282,279,0,8/16/2020,0
Upper West,88,85,0,8/16/2020,0
Volta,646,605,30,8/16/2020,7
Western,2924,2853,68,8/16/2020,65
Western North,598,576,22,8/16/2020,10
Ahafo,490,446,44,8/17/2020,0
Ashanti,10650,10106,472,8/17/2020,55
Bono,480,479,1,8/17/2020,0
Bono East,730,679,40,8/17/2020,0
Central,1836,1563,261,8/17/2020,0
Eastern,2109,1848,242,8/17/2020,27
Greater Accra,21445,20698,656,8/17/2020,332
Upper East,282,279,0,8/17/2020,0
Northern,489,466,14,8/17/2020,0
Oti,229,202,25,8/17/2020,0
Savannah,62,61,0,8/17/2020,0
Upper West,88,85,0,8/17/2020,0
Volta,646,605,30,8/17/2020,0
Western,2924,2853,68,8/17/2020,0
Western North,598,576,22,8/17/2020,0
Northern East,18,17,0,8/17/2020,0
Ahafo,490,446,44,8/18/2020,0
Ashanti,10695,10172,432,8/18/2020,73
Bono,480,479,1,8/18/2020,0
Bono East,730,679,40,8/18/2020,0
Central,1836,1563,259,8/18/2020,0
Eastern,2157,1874,264,8/18/2020,11
Greater Accra,21521,20896,533,8/18/2020,53
Northern East,18,17,0,8/18/2020,0
Northern,497,483,5,8/18/2020,1
Oti,229,202,25,8/18/2020,0
Savannah,62,61,0,8/18/2020,0
Upper East,282,279,0,8/18/2020,0
Upper West,88,85,0,8/18/2020,3
Volta,646,605,30,8/18/2020,0
Western,2931,2859,68,8/18/2020,6
Western North,598,576,22,8/18/2020,0
Ahafo,490,446,44,8/19/2020,0
Ashanti,10706,10223,392,8/19/2020,102
Bono,480,479,1,8/19/2020,2
Bono East,730,679,40,8/19/2020,10
Central,1837,1563,260,8/19/2020,5
Eastern,2157,1903,235,8/19/2020,4
Greater Accra,21567,20941,534,8/19/2020,162
Upper East,282,279,0,8/19/2020,0
Northern,497,483,5,8/19/2020,0
Oti,229,202,25,8/19/2020,0
Savannah,62,61,0,8/19/2020,0
Upper West,88,85,0,8/19/2020,0
Volta,651,608,32,8/19/2020,0
Western,2933,2863,66,8/19/2020,5
Western North,598,576,22,8/19/2020,0
Northern East,18,17,0,8/19/2020,0
